Area,ISO3 Code,Year,Demand,Net Imports,Total Generation,Clean,Nuclear,Wind and Solar,"Hydro, Bioenergy and Other Renewables",Fossil,Coal,Gas and Other Fossil,AvgPrice_EUR_MWh,MaxPrice_EUR_MWh,StdPrice_EUR_MWh
Italy,ITA,2022,323.16,42.99,280.17,100.46,0.0,48.61,51.85,179.71,22.61,157.1,303.0883333333333,543.55,109.44889200264231
Italy,ITA,2023,312.75,51.25,261.5,116.47,0.0,54.25,62.22,145.03,13.22,131.81,127.40083333333332,174.44,21.886286058265863
Italy,ITA,2024,318.51,51.0,267.51,134.19,0.0,58.16,76.03,133.32,3.95,129.37,108.4275,135.04,17.4756933143776
Latvia,LVA,2015,7.36,1.82,5.54,2.78,0.0,0.15,2.63,2.76,0.0,2.76,41.829166666666666,56.52,6.389247300003817
Latvia,LVA,2016,7.45,1.03,6.42,3.48,0.0,0.13,3.35,2.94,0.0,2.94,36.050000000000004,50.01,5.8572907171707405
Latvia,LVA,2017,7.47,-0.06,7.53,5.46,0.0,0.15,5.31,2.07,0.0,2.07,34.7025,38.37,2.5881201496628603
Latvia,LVA,2018,7.63,0.91,6.72,3.49,0.0,0.12,3.37,3.23,0.0,3.23,49.859166666666674,59.07,7.3937964886214935
Latvia,LVA,2019,7.56,1.12,6.44,3.19,0.0,0.15,3.04,3.25,0.0,3.25,46.2775,56.65,4.678803508668351
Latvia,LVA,2020,7.35,1.63,5.72,3.64,0.0,0.18,3.46,2.08,0.0,2.08,34.034166666666664,44.87,7.851696352130577
Latvia,LVA,2021,7.62,1.77,5.85,3.72,0.0,0.15,3.57,2.13,0.0,2.13,88.5775,207.3,47.57855573584691
Latvia,LVA,2022,7.34,2.31,5.03,3.82,0.0,0.27,3.55,1.21,0.0,1.21,225.91333333333333,467.09,106.70090016944418
Latvia,LVA,2023,7.17,0.8,6.37,4.95,0.0,0.5,4.45,1.42,0.0,1.42,94.08999999999999,116.98,14.881713611005958
Latvia,LVA,2024,7.39,1.07,6.32,4.64,0.0,0.81,3.83,1.68,0.0,1.68,87.28333333333335,117.15,16.056764268926624
Lithuania,LTU,2015,11.44,7.21,4.23,1.68,0.0,0.88,0.8,2.55,0.0,2.55,41.906666666666666,56.52,6.330911658224465
Lithuania,LTU,2016,11.9,8.27,3.63,2.1,0.0,1.21,0.89,1.53,0.0,1.53,36.50833333333333,50.31,5.689893485715519
Lithuania,LTU,2017,12.24,8.68,3.56,2.53,0.0,1.43,1.1,1.03,0.0,1.03,35.1525,38.37,2.5290067220155814
Lithuania,LTU,2018,12.55,9.63,2.92,2.2,0.0,1.23,0.97,0.72,0.0,0.72,49.9625,59.07,7.437533957141734
Lithuania,LTU,2019,12.68,9.34,3.34,2.47,0.0,1.59,0.88,0.87,0.0,0.87,46.123333333333335,56.53,4.670130100063076
Lithuania,LTU,2020,12.61,7.91,4.7,2.57,0.0,1.68,0.89,2.13,0.0,2.13,34.02333333333333,45.76,7.986663125410255
Lithuania,LTU,2021,13.34,9.04,4.3,2.62,0.0,1.55,1.07,1.68,0.0,1.68,90.24000000000001,212.11,48.29299215112987
Lithuania,LTU,2022,12.61,8.57,4.04,3.02,0.0,1.85,1.17,1.02,0.0,1.02,229.2266666666667,480.5,109.33907422104483
Lithuania,LTU,2023,12.14,6.93,5.21,4.35,0.0,3.14,1.21,0.86,0.0,0.86,94.6375,117.01,14.872935227208089
Lithuania,LTU,2024,12.7,5.4,7.3,6.14,0.0,4.72,1.42,1.16,0.0,1.16,87.19583333333333,117.39,16.093600906929286
Luxembourg,LUX,2015,6.94,5.6,1.34,0.43,0.0,0.2,0.23,0.91,0.0,0.91,31.764166666666668,39.37,3.8172061614206636
Luxembourg,LUX,2016,7.09,6.3,0.79,0.46,0.0,0.2,0.26,0.33,0.0,0.33,28.956666666666667,38.21,5.7921142839888695
Luxembourg,LUX,2017,7.08,6.18,0.9,0.6,0.0,0.34,0.26,0.3,0.0,0.3,34.63833333333333,52.41,6.836863759108125
Luxembourg,LUX,2018,7.12,6.16,0.96,0.68,0.0,0.37,0.31,0.28,0.0,0.28,43.46333333333333,56.86,7.860400560384753
Luxembourg,LUX,2019,6.95,5.88,1.07,0.8,0.0,0.41,0.39,0.27,0.0,0.27,37.814166666666665,49.95,5.261713268047919
Luxembourg,LUX,2020,6.68,5.46,1.22,0.97,0.0,0.51,0.46,0.25,0.0,0.25,30.3725,43.75,9.27488997729402
Luxembourg,LUX,2021,6.95,5.72,1.23,0.99,0.0,0.49,0.5,0.24,0.0,0.24,97.27499999999999,225.08,58.13624851079653
